업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명
일반음식점,장날순대 충북대점,"청주시 서원구 내수동로 125-1, 1층 (사창동)","청주시 서원구 사창동 258-5 , 1층 ",043-268-1019,분식
일반음식점,토속촌,"청주시 서원구 1순환로1063번길 61-12 (분평동,(2층))",청주시 서원구 분평동 1246 (2층) ,043-296-5292,한식
일반음식점,대산보리밥,"청주시 서원구 2순환로 1461-1, 1층 (죽림동)",청주시 서원구 죽림동 77-2 (1층) ,043-231-7017,한식
일반음식점,콩두부한식,"청주시 서원구 충렬로 47-2 (사직동,(1층))",청주시 서원구 사직동 649-48 (1층) ,043-266-6609,한식
일반음식점,용구비어,"청주시 서원구 신율로 49 (개신동,번지, 108호)","청주시 서원구 개신동 611 번지, 108호 ",,호프/통닭
일반음식점,반달촌,"청주시 서원구 호국로26번길 54, C동 1층 (사직동)",청주시 서원구 사직동 621-4 C동(1층) ,043-263-9640,한식
일반음식점,역전할머니 맥주(충북대점),"청주시 서원구 1순환로704번길 75, 1층 (사창동)",청주시 서원구 사창동 446-1 (1층) ,043-271-1318,호프/통닭
일반음식점,672 F&B,"청주시 서원구 1순환로672번길 53, 1층 (사창동)",청주시 서원구 사창동 450 (1층) ,043-264-7788,호프/통닭
일반음식점,모충동고깃집,"청주시 서원구 쌍샘로 106, 1층 (모충동)",청주시 서원구 모충동 500-3 외 1필지(1층) ,,한식
일반음식점,구룡산한식,"청주시 서원구 1순환로 765 (개신동,(1층))",청주시 서원구 개신동 52-17 (1층) ,043-263-1259,한식
일반음식점,삼양집,"청주시 서원구 원마루로20번길 22, 1층 (분평동)",청주시 서원구 분평동 1292 (1층) ,043-283-8865,한식
일반음식점,구박사,"청주시 서원구 산남로10번길 17-2 (산남동,(1층))",청주시 서원구 산남동 456 (1층) ,043-218-8008,한식
일반음식점,최대포갈매기살,"청주시 서원구 예체로19번길 4, 1층 (개신동)",청주시 서원구 개신동 436-7 (1층) ,043-264-6485,한식
일반음식점,올엔조이(All enjoy),"청주시 서원구 복대로 19, 매직타워 105호 (개신동)",청주시 서원구 개신동 696 매직타워 105호,043-233-9954,한식
일반음식점,현고들깨손칼국수,"청주시 서원구 성봉로220번길 16, 가동 1층 (개신동)",청주시 서원구 개신동 279-5 (1층) 가동 ,043-262-6800,한식
일반음식점,다사랑치킨피자호프,"청주시 서원구 산남로 38, 외 1필지  1층 109호 110호 (산남동)",청주시 서원구 산남동 503 (외 1필지) 109호 110호 ,043-902-1451,호프/통닭
일반음식점,투다리원마루점,청주시 서원구 원마루로20번길 3 (분평동),청주시 서원구 분평동 1268 ,,호프/통닭
일반음식점,외돌개,청주시 서원구 수곡로5번길 63 (수곡동),청주시 서원구 수곡동 946 ,043-291-0902,한식
일반음식점,청진해장국,"청주시 서원구 창직로 112-3 (모충동,(1층))",청주시 서원구 모충동 436-2 (1층) ,,한식
일반음식점,굽네치킨산남.성화점,"청주시 서원구 두꺼비로27번길 5-11, 1층 (산남동)","청주시 서원구 산남동 1074 , 1층 ",043-283-9282,호프/통닭
일반음식점,육회한뭉티기,"청주시 서원구 산남로 67, 1층 (산남동)",청주시 서원구 산남동 830 (1층) ,043-292-9489,한식
일반음식점,전설의불닭,"청주시 서원구 1순환로694번길 11, 1층 (사창동)","청주시 서원구 사창동 519-1 , 1층 ",043-277-9233,한식
일반음식점,고기명작(분평점),"청주시 서원구 1순환로 1112, 1,2층 (분평동)","청주시 서원구 분평동 598 1,2층 ",043-286-9559,식육(숯불구이)
일반음식점,도야족발,"청주시 서원구 1순환로1107번길 21 (분평동,(1층) 118호)",청주시 서원구 분평동 1383 (1층) 118호 ,,식육(숯불구이)
일반음식점,김밥천국,"청주시 서원구 산남로24번길 3 (산남동,리치피아빌딩 101호)",청주시 서원구 산남동 498 리치피아빌딩 101호 ,043-296-8998,김밥(도시락)
일반음식점,명인만두분평점,"청주시 서원구 1순환로1063번길 24 (분평동,103호)",청주시 서원구 분평동 1417 103호 ,,한식
일반음식점,바른치킨 충북대점,청주시 서원구 사직대로90번길 22 (사창동),청주시 서원구 사창동 150-24 ,043-263-5841,호프/통닭
일반음식점,북경24시,"청주시 서원구 모충로 111, 1층 (모충동)",청주시 서원구 모충동 433-11 (1층) ,043-273-2101,중국식
일반음식점,종가대박집,"청주시 서원구 1순환로674번길 16 (사창동,(2층))",청주시 서원구 사창동 435 (2층) ,,한식
일반음식점,곤드레남원추어탕,"청주시 서원구 사운로45번길 11, 1층 (사직동)","청주시 서원구 사직동 9-15 , 1층 ",043-272-0330,한식
일반음식점,부산꼼장어,"청주시 서원구 원흥로64번길 13 (산남동,(1층))",청주시 서원구 산남동 437 (1층) ,043-285-3388,한식
일반음식점,산남새벽집,"청주시 서원구 산남로24번길 18-2, 1층 (산남동)",청주시 서원구 산남동 448 (1층) ,043-297-2979,한식
일반음식점,섬진강,"청주시 서원구 사직대로175번길 46 (사창동,(1층))",청주시 서원구 사창동 246-26 (1층) ,043-263-4312,한식
일반음식점,호식이두마리치킨,청주시 서원구 구룡산로326번길 19-11 (수곡동),청주시 서원구 수곡동 171-2 ,043-296-9255,통닭(치킨)
일반음식점,원마루호프,"청주시 서원구 원마루로20번길 4 (분평동,(1층))",청주시 서원구 분평동 1302 (1층) ,043-288-8775,통닭(치킨)
일반음식점,Routine759(루틴759),"청주시 서원구 1순환로 759, 1층 (개신동)",청주시 서원구 개신동 47-24 (1층) ,043-271-7040,기타
일반음식점,두메나산골,청주시 서원구 내수동로 151 (사창동),청주시 서원구 사창동 303-8 ,,한식
일반음식점,홍원,"청주시 서원구 내수동로 93 (사창동,(2층))",청주시 서원구 사창동 152-13 (2층) ,043-216-4982,한식
일반음식점,소영칼국수 산남점,"청주시 서원구 원흥로100번길 39 (산남동,(1층))",청주시 서원구 산남동 378 (1층) ,043-295-4608,한식
일반음식점,맘스터치충대점,"청주시 서원구 1순환로 686, 1층 (사창동)",청주시 서원구 사창동 492-3 (1층) ,043-265-7770,패스트푸드
일반음식점,홍어한점,"청주시 서원구 용호로5번길 60, 1층 (죽림동)",청주시 서원구 죽림동 311 (1층) ,043-231-5933,한식
일반음식점,수원참갈비,"청주시 서원구 원흥로64번길 47, 1층 (산남동)",청주시 서원구 산남동 443 (1층) ,043-298-3111,한식
일반음식점,산골추어탕,"청주시 서원구 남이면 가마3길 48, 1동 1층",청주시 서원구 남이면 가마리 78 (1층) 1동 ,043-293-2929,탕류(보신용)
일반음식점,청주시오야끼,"청주시 서원구 두꺼비로28번길 37, 1층 (산남동)",청주시 서원구 산남동 812 ,043-288-3496,한식
일반음식점,여주가마솥,"청주시 서원구 원마루로14번길 13 (분평동,(1층))",청주시 서원구 분평동 1293 (1층) ,043-294-5205,한식
일반음식점,정원,"청주시 서원구 산남로24번길 17-2, 1층 (산남동)",청주시 서원구 산남동 416 ,043-286-1441,한식
일반음식점,용우동 청주사창점,"청주시 서원구 사직대로 120, 1층 (사창동)",청주시 서원구 사창동 257-3 (1층) ,043-262-8217,분식
일반음식점,여우소굴,"청주시 서원구 산남로62번길 20, 1층 (산남동)",청주시 서원구 산남동 605 (1층) ,043-287-2825,한식
일반음식점,육회지존,"청주시 서원구 1순환로704번길 78 (사창동,(1층))",청주시 서원구 사창동 413-1 (1층) ,043-265-4785,경양식
일반음식점,밥보다맛있는떡볶이방이얌,"청주시 서원구 두꺼비로70번길 36, 1층 (산남동)",청주시 서원구 산남동 827 (1층) ,043-288-1954,한식
일반음식점,닥스버블,"청주시 서원구 사직대로144번길 36 (사창동,(1층))",청주시 서원구 사창동 285-1 (1층) ,043-264-3377,한식
일반음식점,양지뜰,"청주시 서원구 쌍샘로 102 (모충동,B동 1층)",청주시 서원구 모충동 501-27 B동 1층 ,043-272-7641,한식
일반음식점,맥주아울렛,"청주시 서원구 원흥로64번길 37 (산남동,(1층))",청주시 서원구 산남동 446 (1층) ,043-293-0979,호프/통닭
일반음식점,서당골,"청주시 서원구 1순환로674번길 12 (사창동, (2층))",청주시 서원구 사창동 431 (2층) ,043-263-0188,한식
일반음식점,고기의철학 김형제,"청주시 서원구 산남로70번길 23, 1층 (산남동)","청주시 서원구 산남동 572 , 1층 ",043-286-0892,식육(숯불구이)
일반음식점,해담,"청주시 서원구 1순환로1063번길 129, 1층 (분평동)","청주시 서원구 분평동 1215-1 , 1층 ",043-276-9800,한식
일반음식점,또또와식당,"청주시 서원구 원흥로80번길 30, 1층 (산남동)",청주시 서원구 산남동 406 (1층) ,043-288-5536,한식
일반음식점,막창선생,"청주시 서원구 예체로19번길 7 (개신동,(1층))",청주시 서원구 개신동 436-8 (1층) ,,한식
일반음식점,현도향,"청주시 서원구 내수동로 91-1, 지하1층 (사창동)",청주시 서원구 사창동 152-3 (지하1층) ,043-260-0722,중국식
일반음식점,진성아구찜,"청주시 서원구 산남로10번길 11, 1층 (산남동)",청주시 서원구 산남동 441 (1층) ,043-298-8868,한식
일반음식점,호식이두마리치킨(분평점),"청주시 서원구 매봉로12번길 21-2, 1층 (분평동)",청주시 서원구 분평동 276-3 (1층) ,043-287-9997,호프/통닭
일반음식점,청년감자탕 청주산남점,"청주시 서원구 산남로70번길 14 (산남동,(2층))",청주시 서원구 산남동 585 (2층) ,043-287-6888,한식
일반음식점,토종장수삼계탕,"청주시 서원구 원흥로100번길 75, 1층 (산남동)","청주시 서원구 산남동 407 , 1층 ",043-296-9989,한식
일반음식점,대웅반점,"청주시 서원구 충렬로 31 (사직동, (1층))",청주시 서원구 사직동 619-1 (1층) ,043-262-5008,중국식
일반음식점,김밥여행,"청주시 서원구 사운로 83, 1층 (사직동, 나)",청주시 서원구 사직동 265-22 나(1층) ,,한식
일반음식점,길성이 서원구점,"청주시 서원구 남이면 가마2길 23-14, 1층",청주시 서원구 남이면 가마리 159-2 (1층) ,043-291-3336,한식
일반음식점,굿푸드,"청주시 서원구 수곡로114번길 8-8, 1층 (수곡동)",청주시 서원구 수곡동 623 (1층) ,043-295-9005,한식
일반음식점,밥짓는마을,"청주시 서원구 장구봉로 142 (개신동,(1층))",청주시 서원구 개신동 552 (1층) ,,한식
일반음식점,대길식당,"청주시 서원구 창신로 34-1 (사창동,(1층))",청주시 서원구 사창동 293-9 (1층) ,,한식
일반음식점,인하램,"청주시 서원구 두꺼비로60번길 25-14, 1층 (산남동)",청주시 서원구 산남동 694 (1층) ,043-294-5525,한식
일반음식점,무이비 포,"청주시 서원구 원흥로100번길 72, 1층 (산남동)",청주시 서원구 산남동 393 (1층) ,043-288-7088,정종/대포집/소주방
일반음식점,해남해산물,"청주시 서원구 원흥로64번길 21 (산남동,(1층))",청주시 서원구 산남동 433 (1층) ,043-296-0265,일식
일반음식점,자담치킨 산남점,"청주시 서원구 두꺼비로78번길 63-1 (산남동,(2층))",청주시 서원구 산남동 608 (2층) ,,호프/통닭
일반음식점,공이막국수,"청주시 서원구 산미로 26-3, 1층 (미평동)",청주시 서원구 미평동 223-4 (1층) ,043-292-5700,한식
일반음식점,위찜,"청주시 서원구 두꺼비로78번길 63-1, 1층 102~104호 (산남동)",청주시 서원구 산남동 608 (1층) 102~104호 ,043-293-9977,식육(숯불구이)
일반음식점,오감만족,"청주시 서원구 두꺼비로94번길 56-9, 1층 (산남동)",청주시 서원구 산남동 613 (1층) ,043-286-0851,한식
일반음식점,맥주창고,"청주시 서원구 1순환로704번길 75 (사창동,(지하1층))",청주시 서원구 사창동 446-1 (지하1층) ,,호프/통닭
일반음식점,촌골닭갈비,"청주시 서원구 수곡로 12 (분평동,(1층))",청주시 서원구 분평동 1018 (1층) ,043-294-2282,한식
일반음식점,산야초,"청주시 서원구 두꺼비로70번길 85 (산남동,(1층, 101호))","청주시 서원구 산남동 966 (1층, 101호) ",043-284-7500,한식
일반음식점,만조비어,"청주시 서원구 원흥로64번길 19 (산남동,(1층))",청주시 서원구 산남동 434 (1층) ,043-286-9233,호프/통닭
일반음식점,권가제면소,"청주시 서원구 두꺼비로94번길 4-21, 1층 (산남동)",청주시 서원구 산남동 522 (1층) ,043-291-3337,한식
일반음식점,청풍루,"청주시 서원구 분평로6번길 14-7, 1층 (분평동)",청주시 서원구 분평동 1395 (1층) ,043-295-1110,호프/통닭
일반음식점,미스터양꼬치,"청주시 서원구 산남로62번길 31, 1층 107~108호 (산남동)",청주시 서원구 산남동 591 (1층)107~108호 ,043-286-8555,식육(숯불구이)
일반음식점,구이가,"청주시 서원구 두꺼비로34번길 25 (산남동,(1층))",청주시 서원구 산남동 785 (1층) ,043-296-7177,한식
일반음식점,신촌파스타,"청주시 서원구 두꺼비로94번길 12-22, 1층 (산남동)",청주시 서원구 산남동 535 (1층) ,043-284-5500,경양식
일반음식점,에그문,"청주시 서원구 내수동로114번길 9, 1층 (사창동)",청주시 서원구 사창동 429 (1층) ,043-262-7890,기타
일반음식점,의정부부대찌개,"청주시 서원구 내수동로 166 (사창동,외 1필지 (1층))",청주시 서원구 사창동 295-1 외 1필지 (1층) ,043-277-6030,한식
일반음식점,도안동감나무집,"청주시 서원구 원흥로64번길 45 (산남동,(1층))",청주시 서원구 산남동 444 (1층) ,043-292-2366,한식
일반음식점,바다향,"청주시 서원구 내수동로 136, 1층 (사창동)",청주시 서원구 사창동 271-1 외 2필지(1층) ,043-272-3288,한식
일반음식점,세뚜리동죽칼국수,"청주시 서원구 내수동로 161, 1층 (사창동)",청주시 서원구 사창동 304-9 (1층) ,043-268-1867,한식
일반음식점,산마루가든,"청주시 서원구 수곡로 112 (수곡동,(1층))",청주시 서원구 수곡동 625 (1층) ,,한식
일반음식점,장군집,"청주시 서원구 성봉로220번길 156, 1동 1층 (개신동)",청주시 서원구 개신동 316-6 (1층) 1동 ,,한식
일반음식점,해운대횟집,"청주시 서원구 예체로1번길 38, 금강빌딩   B동 1층 (개신동)",청주시 서원구 개신동 1-15 금강빌딩 B동(1층) ,043-277-9293,횟집
일반음식점,칭기스칸,"청주시 서원구 내수동로108번길 19 (사창동,(4층))",청주시 서원구 사창동 442 (4층) ,043-275-7888,한식
일반음식점,로얄생고기,"청주시 서원구 봉명로 238-1, 1층 (사창동)",청주시 서원구 사창동 240-5 (1층) ,043-262-9712,한식
일반음식점,코리아닭발,"청주시 서원구 1순환로680번길 5 (사창동,(1층))",청주시 서원구 사창동 502 (1층) ,,분식
일반음식점,빨간곱창,"청주시 서원구 서원남로57번길 7 (모충동,(1층))",청주시 서원구 모충동 248-28 (1층) ,070-8107-2830,호프/통닭
일반음식점,헬로우커피,"청주시 서원구 원흥로 90, 1층 (산남동)",청주시 서원구 산남동 363 1층 ,043-284-8870,경양식
일반음식점,한솔불고기,"청주시 서원구 쌍샘로 64 (모충동,(1층))",청주시 서원구 모충동 386-2 (1층) ,043-266-5324,한식
일반음식점,동해바다,"청주시 서원구 원흥로80번길 31-6, 1층 (산남동)",청주시 서원구 산남동 425 (1층) ,043-285-8002,횟집
일반음식점,서원해장국,"청주시 서원구 원흥로100번길 33, 1층 (산남동)","청주시 서원구 산남동 380 , 1층 ",043-283-7105,한식
일반음식점,자매보리밥,"청주시 서원구 신율로 68 (개신동,(1층))",청주시 서원구 개신동 515 (1층) ,043-276-2247,한식
일반음식점,뿌리,"청주시 서원구 모충로 49 (개신동,(지하1층))",청주시 서원구 개신동 437-14 (지하1층) ,043-268-0011,호프/통닭
일반음식점,입이만족,"청주시 서원구 두꺼비로60번길 12-2, 1층 (산남동)",청주시 서원구 산남동 747 (1층) ,043-285-0285,한식
일반음식점,남도생갈비,"청주시 서원구 산미로 122, 1층 (산남동)",청주시 서원구 산남동 42-6 (1층) ,043-297-6688,식육(숯불구이)
일반음식점,성룡각,"청주시 서원구 원흥로100번길 27-12, 1층 (산남동)",청주시 서원구 산남동 373 (1층) ,043-298-8259,중국식
일반음식점,풍미숯불닭갈비,"청주시 서원구 장전로 81, 1층 104호 (성화동)","청주시 서원구 성화동 487 , 1층 104호",,식육(숯불구이)
일반음식점,해가불고기,"청주시 서원구 두꺼비로94번길 72-2, 1층 (산남동)",청주시 서원구 산남동 630 (1층) ,043-255-0397,한식
일반음식점,참치타임,"청주시 서원구 산남로24번길 17-1, 1층 (산남동)",청주시 서원구 산남동 430 (1층) ,043-287-3782,일식
일반음식점,팔당식당,"청주시 서원구 두꺼비로78번길 63-11, 1층 (산남동)",청주시 서원구 산남동 620 (1층) ,043-287-1460,한식
일반음식점,연잎 & 곤드레밥상,"청주시 서원구 산남로70번길 34 (산남동,외 1필지 신성미소시티블루1 지상2층 203호)",청주시 서원구 산남동 581 외 1필지 신성미소시티블루1 지상2층 203호 ,043-293-0086,한식
일반음식점,떡묵이튀어라,"청주시 서원구 수곡로 74, 한마음1차아파트상가1동 1층 102호 (수곡동)",청주시 서원구 수곡동 777 한마음1차아파트 상가1동 1층 102호 ,043-285-9994,분식
일반음식점,부자만두찐빵,"청주시 서원구 월평로 7, 퓨전빌딩 1층 104호 (분평동)",청주시 서원구 분평동 1224 퓨전빌딩 ,043-295-5272,분식
일반음식점,산남닭발,"청주시 서원구 수곡로 102, 11동 103호 (수곡동, 한마음2차상가)",청주시 서원구 수곡동 775 한마음2차아파트 상가11동 1층 103호 ,,기타
일반음식점,장수아구찜,"청주시 서원구 사직대로176번길 33 (사창동,(1층))",청주시 서원구 사창동 299-18 (1층) ,,한식
일반음식점,디딤돌 한식뷔페,"청주시 서원구 남이면 청남로 883, 1층",청주시 서원구 남이면 부용외천리 487 (1층) ,043-278-3300,한식
일반음식점,참이슬2,청주시 서원구 현도면 청남로 332-6,청주시 서원구 현도면 선동리 474-1 ,043-260-8280,한식
일반음식점,기사식당 소머리국밥,"청주시 서원구 남이면 청남로 1145, 1층",청주시 서원구 남이면 외천리 167-1 (1층) ,043-275-2273,한식
일반음식점,송원,"청주시 서원구 남이면 대림로 376, 1층",청주시 서원구 남이면 석판리 8-1 (1층) ,043-232-4337,한식
일반음식점,부송국수,청주시 서원구 남이면 청남로 1334,청주시 서원구 남이면 척산리 255-2 ,043-265-1979,한식
일반음식점,행복식당,청주시 서원구 남이면 연청로 1261,청주시 서원구 남이면 부용외천리 1044 ,043-277-5858,분식
일반음식점,김밥아이,"청주시 서원구 신화로 43, 1층 102호,103호 (성화동)","청주시 서원구 성화동 443 (1층) 102호,103호 ",043-215-6641,한식
일반음식점,중문탕수육,"청주시 서원구 1순환로674번길 72 (사창동,(지하1층))",청주시 서원구 사창동 464 (지하1층) ,043-273-5797,중국식
일반음식점,디에떼에스프레소산남점,"청주시 서원구 산남로70번길 14, 1층 (산남동)",청주시 서원구 산남동 585 (1층) ,043-287-9301,한식
일반음식점,행복촌순대마을,"청주시 서원구 수영로36번길 5 (수곡동,(1층))",청주시 서원구 수곡동 38-3 (1층) ,043-295-4119,한식
일반음식점,춘천본가닭갈비,"청주시 서원구 구룡산로338번길 16-15 (수곡동,(1층))",청주시 서원구 수곡동 176-5 (1층) ,043-264-1663,한식
일반음식점,본전(本煎),"청주시 서원구 구룡산로375번길 56 (모충동,(1층))",청주시 서원구 모충동 122-25 (1층) ,,한식
일반음식점,항아리칼수제비,"청주시 서원구 남들로35번길 21, 1층 (모충동)","청주시 서원구 모충동 246-21 , 1층 ",043-285-1585,한식
일반음식점,산남곱창,"청주시 서원구 산남로24번길 18-1, 1층 (산남동)",청주시 서원구 산남동 460 (1층) ,043-221-8382,한식
일반음식점,좋은원두 일레븐 충북대점,"청주시 서원구 1순환로674번길 52, 1층 (사창동)",청주시 서원구 사창동 473 외 1필지(1층) ,070-4226-9091,까페
일반음식점,쿡메시야,"청주시 서원구 1순환로674번길 48 (사창동,(1층))",청주시 서원구 사창동 474-3 (1층) ,043-237-7500,한식
일반음식점,탁봉순 새우양계장,"청주시 서원구 산남로62번길 31, 1층 110~111호 (산남동)",청주시 서원구 산남동 591 (1층)110~111호 ,043-298-2955,호프/통닭
일반음식점,프렌즈호프치킨,"청주시 서원구 산미로 154, 1층 102호 (산남동)",청주시 서원구 산남동 1220 (1층) 102호,043-285-3232,호프/통닭
일반음식점,호아마라탕,"청주시 서원구 내수동로108번길 15 (사창동,(2층))",청주시 서원구 사창동 441 (2층) ,043-272-7778,호프/통닭
일반음식점,대박수산,"청주시 서원구 두꺼비로60번길 26-11, 1층 (산남동)",청주시 서원구 산남동 742 (1층) ,043-292-0335,한식
일반음식점,인도네팔레스토랑(First Nepal Restaurant),"청주시 서원구 내수동로114번길 7 (사창동,(2층))",청주시 서원구 사창동 426 (2층) ,043-260-5363,기타
일반음식점,김가네탕,"청주시 서원구 구룡산로 331-5, 1층 (수곡동)",청주시 서원구 수곡동 156-5 (1층) ,043-284-6801,한식
일반음식점,성화옻닭,"청주시 서원구 신성화로46번길 5-2, 1층 (성화동)",청주시 서원구 성화동 510 (1층) ,043-283-4578,한식
일반음식점,훈민정음(청주 충북대점),"청주시 서원구 1순환로674번길 38 (사창동,(1층))",청주시 서원구 사창동 444 (1층) ,043-271-6692,정종/대포집/소주방
일반음식점,빡시기호프&치킨,"청주시 서원구 내수동로 170 (사창동,(1층))",청주시 서원구 사창동 297-3 (1층) ,043-268-2023,호프/통닭
일반음식점,호인순대,"청주시 서원구 두꺼비로70번길 54, 1층 (산남동)",청주시 서원구 산남동 845 (1층) ,043-296-1005,한식
일반음식점,우림칼국수산남점,"청주시 서원구 원흥로100번길 43 (산남동,(1층))",청주시 서원구 산남동 377 (1층) ,043-292-0400,분식
일반음식점,일방통행,"청주시 서원구 무심서로 435, 1층 (사직동)",청주시 서원구 사직동 710-52 (1층) ,043-266-0306,호프/통닭
일반음식점,(주)미스터풍차,"청주시 서원구 용평로113번길 23, 1.2층 (분평동)","청주시 서원구 분평동 625-1 (1,2층) ",043-255-3333,한식
일반음식점,토방칼국수,"청주시 서원구 원마루로14번길 12 (분평동,(1층))",청주시 서원구 분평동 1318 (1층) ,,한식
일반음식점,서울뚝배기,"청주시 서원구 예체로 119 (사창동,(지하1층))",청주시 서원구 사창동 254-11 (지하1층) ,043-234-3796,한식
일반음식점,바다향,"청주시 서원구 청남로2110번길 5 (모충동,(1층))",청주시 서원구 모충동 101-14 (1층) ,043-258-4004,한식
일반음식점,해물나라,"청주시 서원구 수곡로 14 (분평동,(1층))",청주시 서원구 분평동 999 (1층) ,043-287-2020,한식
일반음식점,만석이,"청주시 서원구 원흥로64번길 41 (산남동,(1층))",청주시 서원구 산남동 445 (1층) ,043-298-6995,일식
일반음식점,헤라바(Hera bar),"청주시 서원구 산남로 60, 3층 303호 (산남동, RS타워)",청주시 서원구 산남동 656 RS타워(3층) 303호,043-288-3911,호프/통닭
일반음식점,밥다됐어요,"청주시 서원구 수곡로113번길 6 (수곡동,(1층))",청주시 서원구 수곡동 650 (1층) ,043-292-4390,한식
일반음식점,한마음정육식당,"청주시 서원구 1순환로674번길 24, 1층 (사창동)",청주시 서원구 사창동 440 (1층) ,043-275-9492,한식
일반음식점,삼영부속구이,"청주시 서원구 대원로37번길 3 (사직동,(1층))",청주시 서원구 사직동 220-19 (1층) ,043-266-3092,기타
일반음식점,아주싸고맛있는족발,"청주시 서원구 모충로 81 (모충동,(1층))",청주시 서원구 모충동 501-2 (1층) ,043-260-0833,호프/통닭
일반음식점,감녹관,"청주시 서원구 1순환로1063번길 111-2, 1동 1층 (분평동)",청주시 서원구 분평동 1217 (1층) 1동 ,043-266-0100,중국식
일반음식점,오자네왔는가개신점,"청주시 서원구 성봉로169번길 47-8, 1층 (개신동)",청주시 서원구 개신동 640 (1층) ,043-266-9920,한식
일반음식점,에메랄드시티 오브 오즈,"청주시 서원구 내수동로108번길 27, 1층 (사창동)",청주시 서원구 사창동 445-1 (1층) ,043-264-0100,호프/통닭
일반음식점,서대포차,"청주시 서원구 서원남로 29 (모충동,(1층))",청주시 서원구 모충동 135-30 (1층) ,,한식
일반음식점,산남순대,"청주시 서원구 두꺼비로28번길 12, 1층 (산남동)",청주시 서원구 산남동 900 (1층) ,043-283-1900,한식
일반음식점,치킨678 청주분평점,"청주시 서원구 분평로 49, 상가동 106호 (분평동, 대원아파트)",청주시 서원구 분평동 1255 대원아파트 상가동 106호,043-291-7991,호프/통닭
일반음식점,갤러리,"청주시 서원구 원흥로80번길 23-4 (산남동,(1층))",청주시 서원구 산남동 410 (1층) ,,호프/통닭
일반음식점,금용,"청주시 서원구 산미로 146 (산남동,빅원빌딩 107호 (1층))",청주시 서원구 산남동 1248 빅원빌딩 107호 (1층) ,043-238-7779,중국식
일반음식점,삼천포생선구이,"청주시 서원구 원흥로64번길 69-1, 1층 (산남동)",청주시 서원구 산남동 478 (1층) ,043-297-8757,한식
일반음식점,네네치킨산남3지구성화점,"청주시 서원구 원흥로 14, 2동 1층 104호 (산남동, 부영상가)",청주시 서원구 산남동 1094 ,043-292-4479,통닭(치킨)
일반음식점,신가네칼국수만두,청주시 서원구 사북로30번길 10 (사직동),청주시 서원구 사직동 539-12 ,043-900-1300,한식
일반음식점,연중추어탕&초계탕,"청주시 서원구 궁뜰로34번길 75 (미평동,(1층))",청주시 서원구 미평동 120 (1층) ,043-283-8890,한식
일반음식점,경성술집 산남점,"청주시 서원구 산남로70번길 17 (산남동,(1층))",청주시 서원구 산남동 571 (1층) ,,한식
일반음식점,쪼끼쪼끼,"청주시 서원구 예체로19번길 4, 2층 201호 (개신동, B동)",청주시 서원구 개신동 436-7 B동(2층) 201호,043-277-2020,호프/통닭
일반음식점,돌섬해초비빔밥,"청주시 서원구 안뜸로12번길 41 (분평동,(1층))",청주시 서원구 분평동 291-8 (1층) ,043-291-7780,한식
일반음식점,효경식당,"청주시 서원구 장구봉로 136 (개신동,(1층))",청주시 서원구 개신동 548 (1층) ,043-260-9904,한식
일반음식점,한상,"청주시 서원구 두꺼비로94번길 26-6, 1층 (산남동)",청주시 서원구 산남동 560 (1층) ,,한식
일반음식점,우즈벡임(UZBEGIM),"청주시 서원구 1순환로672번길 52 (사창동,(2층))",청주시 서원구 사창동 457 (2층) ,043-265-7997,"외국음식전문점(인도,태국등)"
일반음식점,황금새우,"청주시 서원구 두꺼비로94번길 72-18, 1층 (산남동)",청주시 서원구 산남동 635 (1층) ,043-283-6737,한식
일반음식점,범벅골,"청주시 서원구 내수동로 97 (사창동,(지하1층))",청주시 서원구 사창동 154-5 (지하1층) ,043-278-0100,한식
일반음식점,피자마루,"청주시 서원구 분평로 21, 상가2동 1층 102호 (분평동, 현대대우아파트 )",청주시 서원구 분평동 1249 현대대우아파트 (1층) 상가2동 102호,,패스트푸드
일반음식점,피자마루(가경.개신1호점),"청주시 서원구 경신로 31-30, 104호 (개신동)",청주시 서원구 개신동 618 104호,043-232-1082,기타
일반음식점,CoCo(코코),"청주시 서원구 두꺼비로94번길 72-17, 1층 (산남동)","청주시 서원구 산남동 637 , 1층 ",043-283-0402,까페
일반음식점,이가네참부대찌개,"청주시 서원구 분평로6번길 14-5 (분평동,(1층))",청주시 서원구 분평동 1396 (1층) ,043-288-0863,한식
일반음식점,시골애,"청주시 서원구 산남로70번길 17 (산남동,(1층))",청주시 서원구 산남동 571 (1층) ,043-288-0021,한식
일반음식점,푸른밥상,"청주시 서원구 사운로145번길 10, 1층 (사직동)",청주시 서원구 사직동 244-8 (1층) ,043-265-0990,한식
일반음식점,허바허바,"청주시 서원구 두꺼비로78번길 63-7, 1층 (산남동)",청주시 서원구 산남동 621 (1층) ,043-295-3668,식육(숯불구이)
일반음식점,꽁보리밥,"청주시 서원구 산남로70번길 34 (산남동,신성미소시티블루1 (1층) 115호)",청주시 서원구 산남동 581 신성미소시티블루1 (1층) 115호 ,070-8883-9612,한식
일반음식점,투다리(해피점),"청주시 서원구 신화로 37 (성화동,(1층))",청주시 서원구 성화동 440 (1층) ,043-233-0159,호프/통닭
